"Header","2016","2017","2018","2019","2020","2021"
"     dont Hors Union européenne",79.5,157.9,116.132,132.327,114.186,222.693
"     dont Union européenne",264.9,344.1,228.235,321.324,161.835,324.698
"4726Z - Commerce de détail de produits à base de tabac en magasin spécialisé",672.4,764,679.507,932.494,2282.654,2332.454
"5630Z - Débits de boissons",4416.5,4279.3,4139.483,4991.718,2162.433,2318.814
"9200Z - Organisation de jeux de hasard et d'argent",294.1,373.6,365.269,412.031,271.597,NA
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",1259.3,1255.3,102.905,116.13,48.208,96.799
"Administrations",45.2,24.3,37.77,51.607,23.687,38.978
"Chiffre d'affaires hors taxes (en millions d'euros)",6204.6,6298.3,5866.685,7356.643,5353.57,5296.373
"Clientèle étrangère",344.5,502,344.367,453.651,276.021,547.391
"Clientèle nationale",5860.2,5796.4,5522.318,6902.993,5077.549,4748.982
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",39113,41439,34365.7,55910.5,33880.7,41017.5
"Entreprises",106.9,230.6,236.769,348.251,287.453,300.959
"Excédent Brut d'Exploitation (en millions d'euros)",863.5,853.9,760.813,837.331,854.804,1282.62
"Frais de personnel (en millions d'euros)",1737.6,1779.8,1631.425,2180.513,1667.706,1808.13
"Investissements corporels bruts hors apports (en millions d'euros)",275.8,269.6,239.648,422.876,368.754,405.469
"Nombre total d'entreprises",34826,34611,34705,35359,34743,34602
"Particuliers",6052.5,6043.4,5592.146,6956.785,5042.43,4956.436
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",1.8,2.5,3.6,3.8,1.1,1.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.3,1.1,0.4,2.7,0.7,1.6
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",0.6,1.1,0.7,0.866,0.431,0.108
"Total de toutes les dépenses professionnelles",1265.1,1264.7,104.168,117.678,49.674,97.492
"Valeur ajoutée hors taxes (en millions d'euros)",2732,2751.8,2509.51,3157.42,2135.623,2027.52
