"Header","2016","2017","2018","2019","2020","2021"
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",540,574,590.207,644.392,685.44,906.644
"Autres, France",1.9,2.6,4.2,4,9.3,0.7
"Carburant",0,0.2,0,0,0,0
"Centrales d'achats, grossistes, France",37.4,39.1,28.1,26.5,32.3,39.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",49750,52098,46044.05,48858.236,48160.953,55930.51
"De 120 m² à 400 m²",24.9,24.6,28.3,29.4,29.3,36.9
"De 400 m² à 2500 m²",24.3,22.7,20.8,24.2,21.8,20
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",174593,177334,161878.2,169285.7,161168.7,189021
"Ensemble  ",100,100,100,100,100,100
"Etranger",0.7,0.9,23.7,20.8,18,4.6
"Fabrication",1.1,1.1,0.8,1.2,2.2,2.3
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",890,898,825.338,752.096,572.686,644.993
"Grossistes, centrales d'achats, producteurs, étranger",23.1,22.1,25,32.9,29,32.9
"Marge commerciale (en millions d'euros)",17206,17912,16280.689,17548.946,17159.036,19745.375
"Nombre de magasins",28767,27528,27584,26224,31705,29636
"Nombre total d'entreprises",29917,29137,27994,27861,26672,26782
"Part du chiffre d'affaires provenant des ventes par Internet",3.7,2.2,2.8,2.9,4.1,5.3
"Producteurs, filiales de commercialisation, France",37.6,36.3,42.8,36.5,29.3,26.5
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",245,269,251.787,203.378,272.231,251.101
"Services",4.1,4,4.3,3.1,4.1,4.8
"Surface totale de vente (en m²)",18255586,17001463,15673821,19265636,18888497,17939931
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",165.9,191.6,373.7,396.7,293.2,441
"Taux d'Investissement : Investissements / Valeur Ajoutée ",11.1,10.2,9.7,11.1,8.4,9.2
"Taux de marge commerciale",36.8,36.6,37.6,37.9,38.3,38.2
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",20.9,21.2,18.8,20.7,23.5,27
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",8.8,9,7.5,8.1,10,12.7
"Total de ces dépenses",2226,2394,2054.145,2020.889,1530.357,1802.738
"Total de ces produits",57,51.9,45.4,46.7,51.5,50.1
"Vente au détail, hors carburant",89.9,88.1,88.4,89.7,88.8,86.7
"Vente aux particuliers",91.2,90,53.2,57.8,65,82.5
"Vente en gros",4.8,6.4,6.4,5.9,4.9,6.1
