"Header","2016","2017","2018","2019","2020","2021"
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",16,16,15.932,16.415,24.612,16.105
"Autres, France",2.9,3.2,9,16.3,7.9,2.4
"Carburant",88.9,89.1,86.8,84.6,81.3,86
"Centrales d'achats, grossistes, France",47,50.3,64.8,62.1,59.1,85.1
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",7777,8430,7078.703,6260.484,5272.481,6334.908
"De 120 m² à 400 m²",14.6,13.7,13.2,12.6,31.8,33.9
"De 400 m² à 2500 m²",0.9,0.4,1.2,2.8,1.9,1.2
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",12802,13528,11425.6,10834.1,11580.3,12238.8
"Ensemble  ",100,100,100,100,100,100
"Fabrication",0.1,0,0,0.1,0.1,0.1
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",7,6,12.712,10.061,5.19,4.802
"Grossistes, centrales d'achats, producteurs, étranger",2.9,4.2,13.1,6.6,11.1,5
"Marge commerciale (en millions d'euros)",1645,1766,1694.239,1513.248,1231.32,1325.83
"Nombre de magasins",2715,2796,2487,2237,3462,3109
"Nombre total d'entreprises",3163,3094,3013,2915,2776,2727
"Part du chiffre d'affaires provenant des ventes par Internet",NA,NA,NA,NA,NA,NA
"Producteurs, filiales de commercialisation, France",47.2,42.3,13.1,15.1,21.9,7.5
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",46,33,29.106,28.622,31.506,6.398
"Services",1.3,1.7,1.3,1.8,4.5,2.6
"Surface totale de vente (en m²)",234949,220855,313298,445857,434945,394874
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",188.7,206,234.6,-1153.5,137.4,165.7
"Taux d'Investissement : Investissements / Valeur Ajoutée ",5.6,5.6,6.2,-0.9,6.5,8.1
"Taux de marge commerciale",21.6,21.5,24.5,24.9,25.1,22.2
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",24.1,25.7,30.9,26.2,19.1,27.1
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",14.9,15.3,17.6,12.1,8.5,13.1
"Total de ces dépenses",125,116,118.478,118.15,61.309,27.305
"Total de ces produits",77.6,82.6,75.6,72.3,80.1,82.5
"Vente au détail, hors carburant",7.8,6.6,9,11.4,9.6,6.8
"Vente en gros",0.2,0.2,0.4,0.6,1.4,1
