"Header","2016","2017","2018","2019","2020","2021"
"4711F00 - Hypermarchés",21.6,20.6,18.9,19.3,19.6,21.7
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",1266,1381,1660.926,1572.286,1462.359,1515.99
"Autres, France",5,3.9,3.1,4.2,3.3,1.7
"Carburant",9.4,9.9,10.2,10,10,11.8
"Centrales d'achats, grossistes, France",68,70.3,71.3,71.8,72.3,74.7
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",231400,241353,245716.338,248358.805,251971.812,261250.084
"De 120 m² à 400 m²",21.4,25.6,22.2,28,15.1,16.1
"De 400 m² à 2500 m²",24.4,26.1,31.9,30.5,34.5,33.5
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",643650,649967,645222.1,666434.5,691717.9,716081.2
"Ensemble  ",100,100,100,100,100,100
"Fabrication",0.1,0.1,0.1,0.1,0.3,0.4
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",2308,2306,2296.222,2316.678,2118.42,2227.276
"Grossistes, centrales d'achats, producteurs, étranger",4,3.2,7,5.2,7.1,7.5
"Marge commerciale (en millions d'euros)",47587,48123,52552.915,53589.451,54882.131,55636.413
"Nombre de magasins",38614,43786,40105,33827,47799,48864
"Nombre total d'entreprises",32563,32690,32791,33784,34891,38182
"Part du chiffre d'affaires provenant des ventes par Internet",2.5,3,2.7,2.9,4.7,4.9
"Producteurs, filiales de commercialisation, France",23,22.6,18.7,18.8,17.3,16.1
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",575,882,512.329,357.473,308.212,421.492
"Services",2.1,1.9,2,2.2,2,2.1
"Surface totale de vente (en m²)",28465753,33773742,33720686,27725539,36070162,34369579
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",107.4,119.9,121.7,155.2,128.6,103.6
"Taux d'Investissement : Investissements / Valeur Ajoutée ",17.3,16.6,15.5,16.3,14.1,17.3
"Taux de marge commerciale",21.3,20.7,22.2,22.4,22.6,22.1
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",22.3,21.2,19.8,20.5,23.6,24.2
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",9.2,8.1,7.1,7.2,8.8,8.9
"Total de ces dépenses",5952,6192,5999.358,6585.782,3888.991,4164.758
"Total de ces produits",44.1,43.4,42.5,41.3,41.2,46.1
"Vente au détail, hors carburant",83.6,83.1,83.3,83.4,79.9,78.2
"Vente en gros",4.8,4.8,4.3,4.1,7.2,7
