"Header","2016","2017","2018","2019","2020","2021"
"4791AA2 - Activité de maisons de vente aux enchères généralisées, sur Internet",29.4,27.9,26.7,11.8,25.7,29.9
"4791BA2 - Activité de maisons de vente aux enchères spécialisées, sur Internet",14.3,17.7,15.7,16.1,20.6,22
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",1453,1426,1149.326,839.604,979.743,951.403
"Autres, France",4.4,4.8,3.1,8.6,6.5,6.3
"Carburant",0,0.1,0.3,0.1,0,0
"Centrales d'achats, grossistes, France",26.2,27.2,22.3,23.5,17.7,27.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",18743,20020,22013.429,24329.027,26311.426,29262.924
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",42964,45164,43751.2,47046.3,49579.6,60151.6
"Ensemble  ",100,100,100,100,100,100
"Fabrication",0.7,1.1,0.7,0.8,1.4,1.4
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",705,703,473.381,548.571,434.236,593.39
"Grossistes, centrales d'achats, producteurs, étranger",33.5,31.5,32.1,30.7,53,42.3
"Marge commerciale (en millions d'euros)",6858,7203,7781.392,7498.035,8612.148,9686.687
"Nombre total d'entreprises",123414,82816,84729,88134,101765,107982
"Part du chiffre d'affaires provenant des ventes par Internet",43.3,58.6,52.7,55.1,62.7,63.9
"Producteurs, filiales de commercialisation, France",35.9,36.5,42.6,37.2,22.8,23.6
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",29,50,43.971,36.924,46.369,29.976
"Services",8.9,6.2,12.4,13.9,10.7,11.5
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",29.9,-19.8,28.5,38.4,169.5,51.8
"Taux d'Investissement : Investissements / Valeur Ajoutée ",26.5,22.6,18,21.7,15.9,24.4
"Taux de marge commerciale",40.5,38.8,40.7,36.2,37.3,38
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",15.8,5.3,11.5,15.2,36.7,21.6
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",6.4,2.2,5,6.3,19.4,9.1
"Total de ces dépenses",2548,2618,2023.507,1702.262,1460.349,1574.769
"Total de ces produits",43.7,45.6,47.5,33.8,51.5,51.9
"Vente au détail, hors carburant",89.2,91.3,84,83,85.8,84.9
"Vente en gros",1.2,1.4,2.6,2.2,2,2.2
