"Header","2016","2017","2018","2019","2020","2021"
"4721ZO1 - Fruits et légumes frais, pommes de terre",9.2,8.8,17.2,20.1,19.8,21.1
"4722ZA1 - Viandes",20,18.9,16.6,13.5,16.5,14
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",40,37,113.787,110.011,120.873,120.963
"Autres, France",3.4,6.4,5.9,5.8,6.1,3.2
"Carburant",0.3,0.4,1.1,0.2,0.4,0.3
"Centrales d'achats, grossistes, France",55.3,53.3,50.7,49.5,58.9,61.9
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",16382,16583,20452.802,22763.421,23009.159,25230.318
"De 120 m² à 400 m²",9.7,9.6,9.6,10.4,12,11
"De 400 m² à 2500 m²",1.7,1.9,1.3,1.5,2.1,2.4
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",67792,64502,74391.2,86926.5,83129.6,94491.7
"Ensemble  ",100,100,100,100,100,100
"Fabrication",0.2,0.2,0.8,0.3,2.5,1.5
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",42,38,49.317,76.763,43.654,55.285
"Grossistes, centrales d'achats, producteurs, étranger",3.8,4,3.9,4.6,4.1,5.8
"Marge commerciale (en millions d'euros)",5728,5707,7073.873,7777.857,7272.88,7844.737
"Nombre de magasins",41170,37916,37003,37732,36702,42949
"Nombre total d'entreprises",45315,45031,44276,44174,43392,44633
"Part du chiffre d'affaires provenant des ventes par Internet",0.4,0.2,0.2,0.4,0.3,0.7
"Producteurs, filiales de commercialisation, France",37.5,36.3,39.5,40,30.9,29.1
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",51,62,38.447,72.79,61.466,39.328
"Services",2.6,2.6,3.2,3.5,5.1,5.1
"Surface totale de vente (en m²)",3185667,3171768,2901692,3030954,3184834,3810133
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",209.9,182.9,209.4,260.5,266.4,221.7
"Taux d'Investissement : Investissements / Valeur Ajoutée ",11.6,13.4,11.3,10.3,11.2,13.2
"Taux de marge commerciale",37.8,36.2,36.6,35.9,35.6,35
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",27.1,26.4,27.4,29.6,33.8,30.4
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",18.6,16.5,18.8,21.6,24.8,21.6
"Total de ces dépenses",162,167,234.096,306.789,225.993,215.577
"Total de ces produits",49.7,47.8,53.6,54.1,53.7,53.2
"Vente au détail, hors carburant",92.3,92,90.1,91.1,86.2,86.5
"Vente en gros",4.5,4.8,4.9,4.8,5.7,6.5
