"Header","2016","2017","2018","2019","2020","2021"
"4742ZO1 - Matériels de télécommunication (téléphones, téléphones portables, répondeurs, fax, etc.)",5.4,NA,11.1,11,8.1,7.2
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",9,11,12.784,6.968,14.294,10.31
"Autres, France",3.5,3.5,8.9,2.3,6.9,2.7
"Carburant",0,0,0,0,0,0
"Centrales d'achats, grossistes, France",37.4,39.4,37.6,29.5,41,50.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",2810,3126,3728.742,2935.879,3593.425,3665.505
"De 120 m² à 400 m²",10.6,21.1,13.2,10.2,12,12.5
"De 400 m² à 2500 m²",1.2,1.9,1.7,1.8,5.7,1.1
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",9610,10711,11000.3,9619.9,11758.5,12917.7
"Ensemble  ",100,100,100,100,100,100
"Etranger",0.4,0.4,1.3,0.5,0.3,0.7
"Fabrication",1,0.8,0.8,0.5,1,0.8
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",17,16,15.751,13.204,15.442,14.691
"Grossistes, centrales d'achats, producteurs, étranger",34.2,32.8,29,41.5,40.1,23.5
"Marge commerciale (en millions d'euros)",727,717,923.617,693.437,808.26,869.64
"Nombre de magasins",4015,4535,4100,2618,7286,6368
"Nombre total d'entreprises",7483,7384,7167,7405,7241,7061
"Part du chiffre d'affaires provenant des ventes par Internet",0.6,0.3,0.6,3.7,3.7,3.8
"Producteurs, filiales de commercialisation, France",25,24.3,24.5,26.8,12,22.9
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",4,15,6.379,6.477,7.257,14.121
"Services",5.5,12.6,5.3,12.8,20.5,20.7
"Surface totale de vente (en m²)",331203,448485,388731,199723,863421,494624
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",230.3,203.8,104.8,-889.8,317.8,290.3
"Taux d'Investissement : Investissements / Valeur Ajoutée ",10.7,9,11,7.4,6.6,8.6
"Taux de marge commerciale",27.7,26.6,26.4,27.2,28.7,30.2
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",28.8,23.8,21.1,23.9,29.4,31.6
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",20.6,16.9,16.9,15.6,21.4,25.7
"Total de ces dépenses",36,49,40.177,30.691,36.993,39.123
"Total de ces produits",76.8,70.2,80.1,75.7,76,84
"Vente au détail, hors carburant",91.5,83.2,88.3,83.1,74.1,74.8
"Vente aux particuliers",84.7,83.6,69.3,74.3,75.9,81.2
"Vente en gros",2,3,5.4,3.7,4.4,3.7
