Header,2018,2019
Nombre total d'entreprises,6067,6797
Chiffre d'affaires hors taxes (en millions d'euros),789.35,919.658
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2584.3,3215.4
Valeur ajoutée hors taxes (en millions d'euros),301.895,361.592
Excédent Brut d'Exploitation (en millions d'euros),116.88,139.505
Frais de personnel (en millions d'euros),207.822,263.305
Investissements corporels bruts hors apports (en millions d'euros),36.069,36.522
Entreprises,735.358,819.422
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,25.153,50.855
Particuliers,28.839,49.382
Clientèle nationale,469.269,502.259
Clientèle étrangère,320.081,417.4
     dont Union européenne,95.926,138.945
     dont Hors Union européenne,224.155,278.455
Sous-traitance : études et prestations de services incorporées à la production,12.8,8.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7.2,6
Dépenses de spectacles en France,1.47,5.847
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",0.968,2.131
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",0.949,1.966
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",0.615,0.7
Versements des droits d'auteur et des droits voisins,0.114,0.682
Total de toutes les dépenses professionnelles,5.44,13.559
SO= Sans objet ; NR = Non renseigné.,,
5920Z - Enregistrement sonore et édition musicale,644.446,709.243
4643Z - Cce de gros (commerce interentreprises) d'appareils électroménagers,48.207,87.287
1820Z - Reproduction d'enregistrements,53.704,N
