Header,2018,2019
Nombre total d'entreprises,92587,98369
Chiffre d'affaires hors taxes (en millions d'euros),71242.815,80165.779
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,393685.7,426338.6
Valeur ajoutée hors taxes (en millions d'euros),38356.289,42428.874
Excédent Brut d'Exploitation (en millions d'euros),5275.369,6344.773
Frais de personnel (en millions d'euros),31810.16,35031.396
Investissements corporels bruts hors apports (en millions d'euros),2343.187,2311.254
Entreprises,63599.434,71530.534
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,5429.283,6796.14
Particuliers,2214.098,1839.105
Clientèle nationale,60695.67,67811.53
Clientèle étrangère,10547.144,12354.249
     dont Union européenne,6716.855,5861.468
     dont Hors Union européenne,3830.29,6492.781
Sous-traitance : études et prestations de services incorporées à la production,10.7,12.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.9,1.9
"Achats de matériel et installations compris dans vos facturations ""clés en main""",2085.99,2390.639
Achats de produits alimentaires (y compris boissons et plats cuisinés),80.878,89.708
Achats de terrains pour la revente,0,37.748
Reversements ou redevances aux propriétaires des supports (activité de régie),32.549,31.673
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),26.722,31.515
Total de toutes les dépenses professionnelles,2244.182,2594.989
SO= Sans objet ; NR = Non renseigné.,,
6202A - Conseil en systèmes et logiciels informatiques,33275.475,37692.239
6201Z - Programmation informatique,10305.515,12668.74
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",5639.647,6073.382
6203Z - Gestion d'installations informatiques,4637.03,4955.78
6202B - Tierce maintenance de systèmes et d'applications informatiques,3657.788,N
