Header,2018,2019
Nombre total d'entreprises,5909,6356
Chiffre d'affaires hors taxes (en millions d'euros),13741.669,15792.956
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,64521.4,75997.2
Valeur ajoutée hors taxes (en millions d'euros),7445.873,8360.11
Excédent Brut d'Exploitation (en millions d'euros),1549.701,1512.969
Frais de personnel (en millions d'euros),5720.985,6701.858
Investissements corporels bruts hors apports (en millions d'euros),220.674,320.209
Entreprises,10798.512,13349.739
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1612.589,1511.726
Particuliers,1330.568,931.491
Clientèle nationale,8937.282,10420.402
Clientèle étrangère,4804.387,5372.555
     dont Union européenne,2374.956,2446.117
     dont Hors Union européenne,2429.431,2926.438
Sous-traitance : études et prestations de services incorporées à la production,38.8,35.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",24.1,3.6
"Achats de matériel et installations compris dans vos facturations ""clés en main""",345.868,458.227
Versements des droits d'auteur et des droits voisins,417.204,315.083
Dépenses de publicité,70.028,51.753
Frais de duplication de vidéogrammes,89.3,45.001
Achats ou reversements de voyages organisés par d'autres entreprises,15.325,19.318
Total de toutes les dépenses professionnelles,980.763,927.357
SO= Sans objet ; NR = Non renseigné.,,
5829C - Édition de logiciels applicatifs,6674.962,8137.09
5821Z - Édition de jeux électroniques,2458.424,2353.451
5829A - Édition de logiciels système et de réseau,1628.469,1562.158
