Header,2016,2017
Nombre total d'entreprises,123414.0,82816.0
Chiffre d'affaires hors taxes (en millions d'euros),18743.0,20020.0
Marge commerciale (en millions d'euros),6858.0,7203.0
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,42964.0,45164.0
Part des entreprises ayant au moins une marque propre,6.6,7.5
Part du chiffre d'affaires provenant des ventes par Internet,43.3,58.6
Taux de marge commerciale,40.5,38.8
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,15.8,5.3
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,6.4,2.2
Taux d'Investissement : Investissements / Valeur Ajoutée ,26.5,22.6
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,29.9,-19.8
Vente en gros,1.2,1.4
"Vente au détail, hors carburant",89.2,91.3
Fabrication,0.7,1.1
Services,8.9,6.2
Carburant,0.0,0.1
Réparation,0.0,0.0
"Centrales d'achats, grossistes, France",26.2,27.2
"Producteurs, filiales de commercialisation, France",35.9,36.5
"Grossistes, centrales d'achats, producteurs, étranger",33.5,31.5
"Autres, France",4.4,4.8
Ensemble  ,100.0,100.0
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",360.0,439.0
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",705.0,703.0
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1453.0,1426.0
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",29.0,50.0
Total de ces dépenses,2548.0,2618.0
"4791AA2 - Activité de maisons de vente aux enchères généralisées, sur Internet",29.4,27.9
"4791BA2 - Activité de maisons de vente aux enchères spécialisées, sur Internet",14.3,17.7
Total de ces produits,43.7,45.6
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
