Header,2016,2017
Nombre total d'entreprises,22260,21309.0
Chiffre d'affaires hors taxes (en millions d'euros),19353,19118.0
Marge commerciale (en millions d'euros),6999,7033.0
Nombre de magasins,19608,15797.0
Surface totale de vente (en m²),4620081,4617005.0
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,67023,64306.0
Part des entreprises ayant au moins une marque propre,9.9,9.3
Part du chiffre d'affaires provenant des ventes par Internet,1.6,1.4
Taux de marge commerciale,38.3,38.7
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,24.6,28.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,9.4,11.9
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.9,10.6
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,174.4,223.1
Vente en gros,19.8,22.8
"Vente au détail, hors carburant",74.4,72.4
Fabrication,1.2,0.7
Services,4.1,3.9
Carburant,0,0.1
Réparation,0.5,0.0
Grande distribution et commerce organisé,5.2,6.0
Commerces indépendants,7.6,8.1
Détaillants (réseau propre ou non),1.2,1.6
Grossistes,4.2,5.0
Vente à des utilisateurs professionnels,20.5,21.5
Vente aux particuliers,57.3,54.5
Etranger,4.1,3.4
Moins de 20 m²,4.6,3.2
De 20 m² à 60 m²,36.2,38.4
De 60 m² à 120 m²,32,24.9
De 120 m² à 400 m²,15.8,17.3
De 400 m² à 2500 m²,10.2,14.6
De 2500 m² à 5000 m²,1,1.3
5000 m² ou plus,0.3,0.3
"Centrales d'achats, grossistes, France",45.9,47.1
"Producteurs, filiales de commercialisation, France",33.2,30.5
"Grossistes, centrales d'achats, producteurs, étranger",15.2,15.3
"Autres, France",5.7,7.1
Ensemble  ,100,100.0
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",90,75.0
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",168,152.0
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,77,81.0
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",53,63.0
Total de ces dépenses,388,371.0
"4764ZP1 - Articles de sport et loisirs yc. activités de plein air (pêche, planches, vêt.) hors cycles, articles et armes de chasse",32.3,30.4
4649ZX1 - Couverts et autres articles métalliques de table et de cuisine,19.1,21.6
4765ZO2 - Commissions sur vente au détail de jeux et jouets (hors jeux vidéo),N,5.2
4761ZO1 - Livres,N,5.0
Total de ces produits,51.4,62.2
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
