Header,2016,2017
Nombre total d'entreprises,49643,50054
Chiffre d'affaires hors taxes (en millions d'euros),26749,28343
Marge commerciale (en millions d'euros),3320,4821
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,129009,132254
Taux de marge commerciale,18.5,24.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,18.1,19.5
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,11.6,12.8
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.2,11.8
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,134.3,145.5
Vente en gros,1.4,1.6
"Vente au détail, hors carburant",0.2,0.1
Fabrication,0,0.5
Services,2.5,2.1
Carburant,3.9,2.6
Réparation,92,93
"Centrales d'achats, grossistes, France",46.1,47.1
"Producteurs, filiales de commercialisation, France",36.8,37.3
"Grossistes, centrales d'achats, producteurs, étranger",8.2,7.8
"Autres, France",8.9,7.8
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",118,162
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",162,144
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,73,69
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",88,113
Total de ces dépenses,441,487
9999Q.. - branche fictive du service commercial lié à la branche mixte 4520AA3,26.2,27.6
4532ZB1 - Vente à des particuliers de pièces et accessoires posés lors de la réparation,15.1,15.9
"4532ZO4 - Vente, au détail, pour compte de tiers de pièces détachées",9.3,11.2
4511ZP4 - VPCT voitures particulières (neuf ou occasion),9.2,7.3
"4519ZP4 - VPCT véhicules utilitaires (neuf ou occasion) de plus de 3,5 tonnes",6.1,5.5
4511ZE1 - Vente à des particuliers de voitures d'occasion,N,5.2
"4531ZO4 - Vente, en gros, pour compte de tiers d'équipements automobiles",5.6,N
Total de ces produits,71.5,72.7
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
