Header,2016,2017
Nombre total d'entreprises,94114,86074
Chiffre d'affaires hors taxes (en millions d'euros),4980,4382
Marge commerciale (en millions d'euros),1749,1775
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,14180,13120
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,0.7,0.6
Taux de marge commerciale,36.8,40.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,41.9,39
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,18.6,16.6
Taux d'Investissement : Investissements / Valeur Ajoutée ,29.9,32.3
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,128.8,111.6
Vente en gros,0.2,0.5
"Vente au détail, hors carburant",98.5,99
Fabrication,1.3,0.3
Services,0,0.2
Carburant,0,0
Réparation,0,0
"Centrales d'achats, grossistes, France",61.7,58.1
"Producteurs, filiales de commercialisation, France",24.2,22
"Grossistes, centrales d'achats, producteurs, étranger",7.3,9.5
"Autres, France",6.8,10.4
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",15,N
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",24,N
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,18,N
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",0,N
Total de ces dépenses,57,N
"4721ZO1 - Fruits et légumes frais, pommes de terre",19.9,22.8
"4722ZO1 - Viandes et produits à base de viande (y compris conserves) [Familles IFLS :461, 468, 480]",7.1,18
"4723ZO1 - Poissons, crustacés, mollusques (y compris conserves) [Famille IFLS : 490]",11.7,9.8
"4729ZJ1 - Produits laitiers y c. oeufs, fromages, yaourts",17,5.5
Total de ces produits,55.8,56.1
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
