Header,2016,2017
Nombre total d'entreprises,28462,29569.0
Chiffre d'affaires hors taxes (en millions d'euros),126119,134697.0
Marge commerciale (en millions d'euros),12541,13493.0
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,157248,161587.0
Taux de marge commerciale,10.7,10.8
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,22.7,22.2
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.5,8.1
Taux d'Investissement : Investissements / Valeur Ajoutée ,18.6,21.8
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,103.2,65.8
Vente en gros,1,1.0
"Vente au détail, hors carburant",0.1,0.0
Fabrication,2.1,2.2
Services,2.2,2.2
Carburant,0.4,0.4
Réparation,94.3,94.1
Grande distribution et commerce organisé,1.3,2.9
Commerces indépendants,8.3,7.8
Détaillants (réseau propre ou non),17.5,17.6
Grossistes,1.9,1.8
Vente à des utilisateurs professionnels,19,17.8
Vente aux particuliers,48.6,49.4
Etranger,3.4,2.7
"Centrales d'achats, grossistes, France",21.7,22.6
"Producteurs, filiales de commercialisation, France",34.2,37.6
"Grossistes, centrales d'achats, producteurs, étranger",34.1,31.8
"Autres, France",10,8.0
Ensemble  ,100,100.0
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",631,655.0
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1505,1463.0
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,343,370.0
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",33,33.0
Total de ces dépenses,2512,2521.0
4511ZP4 - VPCT voitures particulières (neuf ou occasion),52.3,53.4
4511ZE1 - Vente à des particuliers de voitures d'occasion,7.9,7.3
4511ZD1 - Vente à des particuliers de voitures neuves,5.6,5.6
4511ZB1 - Vente à des utilisateurs professionnels de voitures particulières neuves,N,5.5
Total de ces produits,65.9,71.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
