Header,2016,2017
Nombre total d'entreprises,18560,18373
Chiffre d'affaires hors taxes (en millions d'euros),1042,1147.3
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,4082,4617
Valeur ajoutée hors taxes (en millions d'euros),420.4,446.7
Excédent Brut d'Exploitation (en millions d'euros),121.9,138.2
Frais de personnel (en millions d'euros),280.1,288.8
Investissements corporels bruts hors apports (en millions d'euros),93.3,87.2
Entreprises,403.1,478
Administrations,133.6,126
Particuliers,505.3,543.3
Clientèle nationale,929.7,N
Clientèle étrangère,112.2,N
     dont Union européenne,87.4,N
     dont Hors Union européenne,24.9,N
Sous-traitance : études et prestations de services incorporées à la production,13.1,9.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",9.8,7.4
Sous-traitance de travaux de développement-tirage aux laboratoires photographiques,65.4,38.6
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,5.9,0.1
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",0,0
Versements des droits d'auteur et des droits voisins,0.8,0
Voyages,0.1,0
Total de toutes les dépenses professionnelles,72.3,38.7
SO= Sans objet ; NR = Non renseigné.,,
7420Z - Activités photographiques,954.9,1092.1
4778C - Autres commerces de détail spécialisés divers,70.4,36.9
