Header,2016,2017
Nombre total d'entreprises,566,528
Chiffre d'affaires hors taxes (en millions d'euros),64.3,62.6
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,542,439
Valeur ajoutée hors taxes (en millions d'euros),38.4,36
Excédent Brut d'Exploitation (en millions d'euros),8.8,6.6
Frais de personnel (en millions d'euros),28.3,28
Investissements corporels bruts hors apports (en millions d'euros),2.2,2.1
Entreprises,51.8,47.9
Administrations,2.2,0.5
Particuliers,10.4,14.3
Clientèle nationale,60.4,60.3
Clientèle étrangère,4,2.3
     dont Union européenne,2.8,1.1
     dont Hors Union européenne,1.2,1.1
Sous-traitance : études et prestations de services incorporées à la production,N,N
"Sous-traitance : matériel, équipements et travaux incorporés à la production",N,N
8030Z - Activités d'enquête,60.4,57.3
8291Z - Activ. agences recouv. de factures et stés d'info. fin. sur la client.,2.8,4.5
