Header,2016,2017
Nombre total d'entreprises,25280,25896
Chiffre d'affaires hors taxes (en millions d'euros),2375.6,2740.6
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,8498,9062
Valeur ajoutée hors taxes (en millions d'euros),1017.5,1083.3
Excédent Brut d'Exploitation (en millions d'euros),290.4,278.3
Frais de personnel (en millions d'euros),694.2,772.8
Investissements corporels bruts hors apports (en millions d'euros),145.3,135.9
Entreprises,1477.7,1595
Administrations,235.2,153.4
Particuliers,662.6,992.2
Clientèle nationale,1998.1,2146.3
Clientèle étrangère,377.5,594.3
     dont Union européenne,141.5,305.7
     dont Hors Union européenne,236,288.6
Sous-traitance : études et prestations de services incorporées à la production,12.4,10.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",8.6,3.7
7410Z - Activités spécialisées de design,2075.3,2388.7
