Header,2016,2017
Nombre total d'entreprises,5892,5775
Chiffre d'affaires hors taxes (en millions d'euros),6101.9,6613.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,121640,120358
Valeur ajoutée hors taxes (en millions d'euros),4667.6,4880.4
Excédent Brut d'Exploitation (en millions d'euros),194.2,199
Frais de personnel (en millions d'euros),4315.8,4522.8
Investissements corporels bruts hors apports (en millions d'euros),99.4,106.1
Entreprises,4997.2,4759
Administrations,693.8,1286.3
Particuliers,410.8,568.5
Clientèle nationale,5955.4,6537.4
Clientèle étrangère,146.5,76.5
     dont Union européenne,124.1,53.1
     dont Hors Union européenne,22.3,23.4
Sous-traitance : études et prestations de services incorporées à la production,28,29.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.1,1
8010Z - Activités de sécurité privée,5807.5,6180.4
