Header,2016,2017
Nombre total d'entreprises,4774,5000
Chiffre d'affaires hors taxes (en millions d'euros),12760,13901.3
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,60552,61040
Valeur ajoutée hors taxes (en millions d'euros),6662.4,7352.5
Excédent Brut d'Exploitation (en millions d'euros),1206.9,1503.1
Frais de personnel (en millions d'euros),5300.4,5636.7
Investissements corporels bruts hors apports (en millions d'euros),210.6,221.2
Entreprises,11047.8,10871.9
Administrations,706.3,1945.8
Particuliers,1005.9,1083.7
Clientèle nationale,7850.1,9017.9
Clientèle étrangère,4909.9,4883.4
     dont Union européenne,2924,2656
     dont Hors Union européenne,1985.9,2227.5
Sous-traitance : études et prestations de services incorporées à la production,36.5,42.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",13.2,13.3
Versements des droits d'auteur et des droits voisins,275.4,360.7
"Achats de matériel et installations compris dans vos facturations ""clés en main""",188,267.3
Frais de duplication de vidéogrammes,93.9,119.5
Dépenses de publicité,75.6,79.3
Autres frais d'édition,32.3,33.9
Total de toutes les dépenses professionnelles,712.9,908.1
SO= Sans objet ; NR = Non renseigné.,,
5829C - Édition de logiciels applicatifs,5743,6233.1
5821Z - Édition de jeux électroniques,1984.2,2369.8
5829A - Édition de logiciels système et de réseau,1227.6,1400.2
