Header,2016,2017
Nombre total d'entreprises,14601,13885
Chiffre d'affaires hors taxes (en millions d'euros),509.4,627.1
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,1639,2285
Valeur ajoutée hors taxes (en millions d'euros),296.1,336.1
Excédent Brut d'Exploitation (en millions d'euros),144.8,121.6
Frais de personnel (en millions d'euros),137.4,198.7
Investissements corporels bruts hors apports (en millions d'euros),70,67
Entreprises,438.4,449.5
Administrations,32.9,N
Particuliers,38.2,N
Clientèle nationale,350.7,398.7
Clientèle étrangère,158.8,228.4
     dont Union européenne,44.9,N
     dont Hors Union européenne,113.8,N
Sous-traitance : études et prestations de services incorporées à la production,8,12.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0,2
7430Z - Traduction et interprétation,498.3,619.7
