Header,2016,2017
Nombre total d'entreprises,9201,8999
Chiffre d'affaires hors taxes (en millions d'euros),17777,17658.6
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,32088,28889
Valeur ajoutée hors taxes (en millions d'euros),9001.5,9110.4
Excédent Brut d'Exploitation (en millions d'euros),6733.3,6764.8
Frais de personnel (en millions d'euros),1911.7,1978.8
Investissements corporels bruts hors apports (en millions d'euros),12689.2,12393.5
Entreprises,15785.4,14520.9
Administrations,293.1,197.2
Particuliers,1698.5,2940.5
Clientèle nationale,16194.4,16159.5
Clientèle étrangère,1582.5,1499.1
     dont Union européenne,1030.4,1017.1
     dont Hors Union européenne,552.1,482
Sous-traitance : études et prestations de services incorporées à la production,1.6,0.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.5,0.3
Achats de carburant et pièces détachées pour la revente,253,375.1
"Achats ou reversements de   transports, hébergements, restauration, spectacles destinés à être incorporés dans la fabrication de voyages vendus ""clé en main"";",30,41.3
Commissions reversées à des confrères pour vente de voyages organisés,4.7,6.4
Achats de produits alimentaires (y compris boissons et plats cuisinés),16.1,0.6
Commissions reversées à des agences de voyages (hors opérateurs en ligne),1.3,0.4
Total de toutes les dépenses professionnelles,311,423.9
SO= Sans objet ; NR = Non renseigné.,,
7711B - Location de longue durée de voitures et de véhicules automob. légers,4054.3,4290.8
7711A - Location de courte durée de voitures et de véhicules automob. légers,3167,3582.5
6630Z - Gestion de fonds,1628.7,1798.8
7712Z - Location et location-bail de camions,1310.9,1383.6
4511Z - Commerce de voitures et de véhicules automobiles légers,904.5,903.8
