Header,2016,2017
Nombre total d'entreprises,40481,43919
Chiffre d'affaires hors taxes (en millions d'euros),15053.4,15753.7
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,297754,306666
Valeur ajoutée hors taxes (en millions d'euros),11280.6,11655.5
Excédent Brut d'Exploitation (en millions d'euros),990.1,994.5
Frais de personnel (en millions d'euros),9917.9,10288.4
Investissements corporels bruts hors apports (en millions d'euros),390.7,469
Entreprises,10659.1,10766.6
Administrations,1917.2,1861.3
Particuliers,2477,3125.8
Clientèle nationale,14723.2,15571.6
Clientèle étrangère,330.2,182.1
     dont Union européenne,206.4,123.1
     dont Hors Union européenne,123.8,59
Sous-traitance : études et prestations de services incorporées à la production,14.4,14.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7.3,6.2
8121Z - Nettoyage courant des bâtiments,9212.6,9007.6
8122Z - Autres activités de nettoyage des bâtiments et nettoyage industriel,2341.5,2627.7
8129B - Autres activités de nettoyage n.c.a.,768.4,1006.9
