Header,2016,2017
Nombre total d'entreprises,8238,8605
Chiffre d'affaires hors taxes (en millions d'euros),5637,6021.2
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,27496,27579
Valeur ajoutée hors taxes (en millions d'euros),2654.5,2765.5
Excédent Brut d'Exploitation (en millions d'euros),790.5,754.2
Frais de personnel (en millions d'euros),1845.6,1987.5
Investissements corporels bruts hors apports (en millions d'euros),343.5,375.2
Entreprises,4825.4,5001.8
Administrations,169.1,268.5
Particuliers,642.5,750.9
Clientèle nationale,4708.1,4762.5
Clientèle étrangère,928.9,1258.7
     dont Union européenne,634.2,797.7
     dont Hors Union européenne,294.7,461
Sous-traitance : études et prestations de services incorporées à la production,20.7,24.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",8.6,9.2
"Achats de matériel et installations compris dans vos facturations ""clés en main""",467.3,N
Reversements ou redevances aux propriétaires des supports (activité de régie),3.1,7.3
Dépenses de publicité,2.7,3.8
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",3.7,2.4
Dépenses de promotion,1.9,2.1
Total de toutes les dépenses professionnelles,499.8,N
SO= Sans objet ; NR = Non renseigné.,,
"6311Z - Traitement de données, hébergement et activités connexes",4073,4198.6
6312Z - Portails Internet,738.6,896
