Header,2016,2017
Nombre total d'entreprises,21290,21999
Chiffre d'affaires hors taxes (en millions d'euros),6397.7,8072.5
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,4953,6061
Valeur ajoutée hors taxes (en millions d'euros),1349,1722.9
Excédent Brut d'Exploitation (en millions d'euros),881.1,1182
Frais de personnel (en millions d'euros),356.7,402.1
Investissements corporels bruts hors apports (en millions d'euros),273.4,451.9
Entreprises,N,2716.9
Administrations,N,90.2
Particuliers,N,5265.4
Clientèle nationale,5986.3,7568.9
Clientèle étrangère,411.3,503.6
     dont Union européenne,347.3,418.1
     dont Hors Union européenne,64,85.6
Sous-traitance : études et prestations de services incorporées à la production,6.6,7.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",9.8,9
6810Z - Activités des marchands de biens immobiliers,5860.8,7397
