Header,2016,2017
Nombre total d'entreprises,124,118
Chiffre d'affaires hors taxes (en millions d'euros),15205.7,14934.5
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,35076,33620
Valeur ajoutée hors taxes (en millions d'euros),5785.7,5819.8
Excédent Brut d'Exploitation (en millions d'euros),2199.8,2399.7
Frais de personnel (en millions d'euros),3148.7,3043.7
Investissements corporels bruts hors apports (en millions d'euros),326.5,263.1
Entreprises,8158.5,8484.5
Administrations,3500.1,2969.3
Particuliers,3547.1,3480.7
Clientèle nationale,13626.8,12015.7
Clientèle étrangère,1578.9,2918.8
     dont Union européenne,784.7,2204.9
     dont Hors Union européenne,794.2,713.9
Sous-traitance : études et prestations de services incorporées à la production,34.9,29.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",N,36.2
Achats et préachats de droits sur programmes télévisuels de stock,2130.3,2159.4
Achats de droits de retransmissions de manifestations sportives,1589.2,1353.7
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",723.2,814.8
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",563.4,429.3
Achats et préachats de droits sur films cinématographiques,457.6,391.8
Total de toutes les dépenses professionnelles,7189.2,6877.6
SO= Sans objet ; NR = Non renseigné.,,
6020A - Édition de chaînes généralistes,7475.5,7160.1
6020B - Édition de chaînes thématiques,1903.9,1630.9
6130Z - Télécommunications par satellite,1420.4,1294.8
