Header,2016,2017
Nombre total d'entreprises,56443,58977
Chiffre d'affaires hors taxes (en millions d'euros),14331.6,15273.7
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,83479,87352
Valeur ajoutée hors taxes (en millions d'euros),7927.5,8269.7
Excédent Brut d'Exploitation (en millions d'euros),1852.4,2009.5
Frais de personnel (en millions d'euros),5779.3,5968.5
Investissements corporels bruts hors apports (en millions d'euros),1101,1504.3
Entreprises,3352.3,3796.4
Administrations,105.8,129.7
Particuliers,10873.6,11347.6
Clientèle nationale,13639.6,14645.7
Clientèle étrangère,692,628
     dont Union européenne,472.3,465
     dont Hors Union européenne,219.8,163
Sous-traitance : études et prestations de services incorporées à la production,4.6,6.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.2,2.3
6831Z - Agences immobilières,8740,9571.1
6832A - Administration d'immeubles et autres biens immobiliers,4116.7,4307.6
