Header,2016,2017
Nombre total d'entreprises,20470,21257
Chiffre d'affaires hors taxes (en millions d'euros),3018.2,3228.6
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,24056,26190
Valeur ajoutée hors taxes (en millions d'euros),1446,1492.5
Excédent Brut d'Exploitation (en millions d'euros),181.2,191.4
Frais de personnel (en millions d'euros),1221.3,1261.3
Investissements corporels bruts hors apports (en millions d'euros),133.2,135.4
Entreprises,2559.3,2602.8
Administrations,111.6,258.8
Particuliers,347.3,366.9
Clientèle nationale,2911.8,3103.4
Clientèle étrangère,106.4,125.1
     dont Union européenne,69.6,84
     dont Hors Union européenne,36.8,41.2
Sous-traitance : études et prestations de services incorporées à la production,6.9,7.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.3,5
8219Z - Photoc./préparation de doc. et autres activ. de soutien de bureau,1396.5,1499.4
8211Z - Services administratifs combinés de bureau,789.3,883.9
4649Z - Cce de gros (commerce interentreprises) d'autres biens domestiques,159.1,190.9
8010Z - Activités de sécurité privée,195.9,188.9
