Header,2016,2017
Nombre total d'entreprises,8187,8044
Chiffre d'affaires hors taxes (en millions d'euros),5427.7,7476.2
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,22600,28031
Valeur ajoutée hors taxes (en millions d'euros),1813.3,2444
Excédent Brut d'Exploitation (en millions d'euros),371.2,452.8
Frais de personnel (en millions d'euros),1374,1893.4
Investissements corporels bruts hors apports (en millions d'euros),275.8,285.4
Entreprises,4305.3,5606.2
Administrations,673.4,1111
Particuliers,449,759.1
Clientèle nationale,5089.4,7067.9
Clientèle étrangère,338.3,408.3
     dont Union européenne,220,264.1
     dont Hors Union européenne,118.3,144.2
Sous-traitance : études et prestations de services incorporées à la production,5.9,7.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.8,4.8
9511Z - Réparation d'ordinateurs et d'équipements périphériques,2049.7,2901.4
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",491.4,1318.3
4666Z - Cce de gros (interentreprises) d'autres machines et équip. de bureau,660.2,871.2
9512Z - Réparation d'équipements de communication,429.6,485
7733Z - Location et location-bail de mach. de bureau et de matériel informat.,381.3,383.2
