Header,2016,2017
Nombre total d'entreprises,25001,25333
Chiffre d'affaires hors taxes (en millions d'euros),2879,3788.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11727,16188
Valeur ajoutée hors taxes (en millions d'euros),1172.8,1514.1
Excédent Brut d'Exploitation (en millions d'euros),214.1,237.1
Frais de personnel (en millions d'euros),941.9,1263.9
Investissements corporels bruts hors apports (en millions d'euros),147.3,251.3
Entreprises,2060.5,2800.8
Administrations,280,375
Particuliers,538.4,613.1
Clientèle nationale,2569,3203.1
Clientèle étrangère,310,585.8
     dont Union européenne,187.8,319.7
     dont Hors Union européenne,122.2,266.1
Sous-traitance : études et prestations de services incorporées à la production,12.3,13.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",5.1,5.3
"Achats de terrains, bâtiments, travaux de construction pour la revente",0.2,10.5
"Hébergement, restauration, accueil d'artistes",0.4,0
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",0.4,0
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,1,10.5
SO= Sans objet ; NR = Non renseigné.,,
"7490B - Activités spécialisées, scientifiques et techniques diverses",1959.9,2588
7490A - Activité des économistes de la construction,585.7,734.6
4778C - Autres commerces de détail spécialisés divers,189.4,166
