Header,2016,2017
Nombre total d'entreprises,23664,22800
Chiffre d'affaires hors taxes (en millions d'euros),21167.2,21130.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,99856,100156
Valeur ajoutée hors taxes (en millions d'euros),7560.4,7785.5
Excédent Brut d'Exploitation (en millions d'euros),939.4,1159.5
Frais de personnel (en millions d'euros),6189.2,6187.8
Investissements corporels bruts hors apports (en millions d'euros),758.6,856.1
Entreprises,20136.7,18593.6
Administrations,195.1,599.4
Particuliers,835.3,1937.8
Clientèle nationale,17819.1,17890.1
Clientèle étrangère,3348.1,3240.8
     dont Union européenne,1298.7,1131.8
     dont Hors Union européenne,2049.3,2109
Sous-traitance : études et prestations de services incorporées à la production,N,N
"Sous-traitance : matériel, équipements et travaux incorporés à la production",N,N
8299Z - Autres activités de soutien aux entreprises n.c.a.,15531.4,14975.8
4778C - Autres commerces de détail spécialisés divers,1469.4,1628.7
8292Z - Activités de conditionnement,1092.4,1008.2
