Header,2016,2017
Nombre total d'entreprises,867,818
Chiffre d'affaires hors taxes (en millions d'euros),640.1,575.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2660,598
Valeur ajoutée hors taxes (en millions d'euros),178.2,153.6
Excédent Brut d'Exploitation (en millions d'euros),95.9,85.3
Frais de personnel (en millions d'euros),75.5,62.3
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,398.1,373.4
Administrations,156.9,157.2
Particuliers,85.1,45.3
Clientèle nationale,628.7,559.7
Clientèle étrangère,11.3,16.1
     dont Union européenne,10.4,0.5
     dont Hors Union européenne,0.9,15.7
8110Z - Activités combinées de soutien lié aux bâtiments,607.4,554.7
