Header,2016,2017
Nombre total d'entreprises,988,972
Chiffre d'affaires hors taxes (en millions d'euros),661.6,913
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,4339,5352
Valeur ajoutée hors taxes (en millions d'euros),399.7,580.1
Excédent Brut d'Exploitation (en millions d'euros),36.2,112
Frais de personnel (en millions d'euros),353.7,452.2
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,642.2,N
Administrations,2.4,24.6
Particuliers,17,N
Clientèle nationale,593.9,825.8
Clientèle étrangère,67.7,87.2
     dont Union européenne,42.8,53.4
     dont Hors Union européenne,24.9,33.7
Sous-traitance : études et prestations de services incorporées à la production,24.1,28.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.6,4
7810Z - Activités des agences de placement de main-d'œuvre,581.6,826
7820Z - Activités des agences de travail temporaire,41.6,42.5
