Header,2016,2017
Nombre total d'entreprises,1381,1603
Chiffre d'affaires hors taxes (en millions d'euros),27921.9,31378
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,58844,55595
Valeur ajoutée hors taxes (en millions d'euros),25512.9,28485.5
Excédent Brut d'Exploitation (en millions d'euros),388.5,995.5
Frais de personnel (en millions d'euros),24181.5,26433.4
Investissements corporels bruts hors apports (en millions d'euros),95.9,134.4
Entreprises,27611.2,30796.1
Administrations,230.9,471.5
Particuliers,79.8,110.4
Clientèle nationale,27644,30948.8
Clientèle étrangère,277.9,429.2
     dont Union européenne,191.8,273
     dont Hors Union européenne,86.1,156.2
Sous-traitance : études et prestations de services incorporées à la production,6.1,7.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",5.3,1.9
7820Z - Activités des agences de travail temporaire,26549.7,29914.9
