Header,2020,2021
Nombre total d'entreprises,5772,5825
Chiffre d'affaires hors taxes (en millions d'euros),51902.428,47522.756
Marge commerciale (en millions d'euros),6630.521,6741.271
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,50037.3,49558.8
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,14.4,15.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.8,23.1
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,12.2,19.3
Taux d'Investissement : Investissements / Valeur Ajoutée ,5.7,4
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,272.9,399.5
Vente en gros,88.4,88.4
"Vente au détail, hors carburant",0.8,1
Fabrication,3.8,2.4
Services,7.1,8.3
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,10.6,12.9
Vente à des grossistes,10,10.3
Vente à des détaillants,17.3,24.4
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",38,47.5
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",33.4,30.4
Vente aux particuliers,1.1,9.8
Etranger,27.5,12.3
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",13.4,19.8
"Producteurs, filiales de commercialisation, France",15.3,13.7
"Grossistes, centrales d'achats, producteurs, étranger",69.9,64.4
"Autres, France",1.4,2.1
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",591.426,653.572
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,273.544,344.763
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",78.39,84.578
Total de ces dépenses,943.36,1082.912
"4651ZA1 - Ordinateurs, unités périphériques et logiciels dont consoles et jeux vidéo",45.3,40.9
4652ZE1 - Matériel de téléphonie,11,12.2
"4652ZO1 - Composants, équipements électroniques et télécommunications dont panneaux photovoltaïques",11,10
"4651Z01 - Commerce de gros d'ordinateurs, de périphériques et de progiciels avec maintenance (yc. commission sur vente de progiciels) - vente aux professionnels",N,5.5
4651ZO1 - Matériels informatiques,5.3,N
Total de ces produits,72.6,68.6
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
