Header,2020,2021
Nombre total d'entreprises,18918,19104
Chiffre d'affaires hors taxes (en millions d'euros),75377.376,86139.929
Marge commerciale (en millions d'euros),17664.97,20353.234
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,163575.1,177619.1
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,26.7,26.7
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,25.8,29.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,12.6,15.7
Taux d'Investissement : Investissements / Valeur Ajoutée ,7,7.6
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,289.8,325.4
Vente en gros,86.8,87.4
"Vente au détail, hors carburant",0.7,0.7
Fabrication,9.6,9.2
Services,2.3,2.2
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0.6,0.5
Vente à des centrales d’achats,9,4.9
Vente à des grossistes,7.1,8.1
Vente à des détaillants,7.8,19.7
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",23.8,32.7
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",63.9,45.6
Vente aux particuliers,2,11.2
Etranger,10.3,10.4
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",13.8,17.1
"Producteurs, filiales de commercialisation, France",36.6,34.8
"Grossistes, centrales d'achats, producteurs, étranger",46.2,45.9
"Autres, France",3.4,2.3
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",296.15,294.606
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1155.735,1295.189
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",86.611,89.532
Total de ces dépenses,1538.497,1679.326
"4661ZC1 - Autre matériel agricole (neuf ou d'occasion, dont pièces détachées)",7.2,7.2
4669AO1 - Fournitures et matériels électriques (dont éoliennes),5.2,6.8
"4661ZA1 - Tracteurs agricoles et forestier (neuf ou d'occasion, dont pièces détachées)",6.7,6.3
"4663ZO1 - Machines pour la construction et le génie civil (matériels de chantier, grues, engins, outillages mécaniques)",6.2,5.7
4669BO1 - Fournitures et équipements professionnels pour l'industrie,7.1,5.6
Total de ces produits,32.5,31.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
