Header,2020,2021
Nombre total d'entreprises,5489,5652
Chiffre d'affaires hors taxes (en millions d'euros),5255.154,6200.947
Marge commerciale (en millions d'euros),978.32,1179.065
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11431.5,13911.4
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,20.4,21.1
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,25.8,27.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,9.4,11
Taux d'Investissement : Investissements / Valeur Ajoutée ,9.9,9
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,189.9,231.7
Vente en gros,0.7,1.9
"Vente au détail, hors carburant",2.7,2.5
Fabrication,1.9,2.3
Services,0.8,0.9
Carburant,0.5,0.7
Commerce et réparation d’automobiles et de motocycles,93.4,91.7
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",25.8,18.8
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",2.6,4.8
Vente aux particuliers,68.4,71.2
Etranger,3.2,5.2
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",26.3,50.5
"Producteurs, filiales de commercialisation, France",30.2,12.5
"Grossistes, centrales d'achats, producteurs, étranger",35,33.9
"Autres, France",8.5,3.2
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",38.969,41.099
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,47.15,54.972
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",7.181,5.371
Total de ces dépenses,93.299,101.441
"4540ZB1 - Vente au détail de motocycles, pièces détachées et accessoires pour motocycles",44,44.2
"4540ZA1 - Motocycles de toutes cylindrées, pièces détachées et accessoires pour motocycles (dont scooter, moto, etc.)",31.4,30.8
9999B.. - branche fictive du service commercial lié à la branche mixte 4540ZO3,6.6,7.5
"4540ZO3 - Réparation et entretien de motocycles (yc scooters, vélos à assistance électrique, gyroroues, trottinettes électriques..., hors véhicules pour invalides)",5.9,5.6
Total de ces produits,87.9,88.1
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
