Header,2020,2021
Nombre total d'entreprises,14742,15233
Chiffre d'affaires hors taxes (en millions d'euros),136550.179,171237.863
Marge commerciale (en millions d'euros),33225.594,40219.811
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,195141.2,206878.9
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,26.5,25.4
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,30.1,39.2
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,9.5,14.4
Taux d'Investissement : Investissements / Valeur Ajoutée ,6.7,7.5
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,252.8,339.6
Vente en gros,83.6,83.3
"Vente au détail, hors carburant",3.9,3.9
Fabrication,4.5,4.5
Services,3.2,2.8
Carburant,4.7,5.4
Commerce et réparation d’automobiles et de motocycles,0.1,0.1
Vente à des centrales d’achats,38.7,3.9
Vente à des grossistes,5.4,3.7
Vente à des détaillants,8.2,44.2
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",52.3,51.8
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",35.7,13.7
Vente aux particuliers,5.4,29.7
Etranger,6.6,4.7
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",20.1,23.6
"Producteurs, filiales de commercialisation, France",45.2,40
"Grossistes, centrales d'achats, producteurs, étranger",31.5,33.5
"Autres, France",3.2,2.8
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",318.862,356.426
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1929.642,2371.669
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",139.503,118.697
Total de ces dépenses,2388.007,2846.792
4671ZD1 - Carburants et lubrifiants,13.6,14.9
"4671ZO1 - Combustibles, carburants, lubrifiants",12.1,12
"4673AD1 - Matériaux de construction (ciment, plâtre, céramique de bâtiment)",6.9,5.1
Total de ces produits,32.5,32
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
