Header,2020,2021
Nombre total d'entreprises,19328,19340
Chiffre d'affaires hors taxes (en millions d'euros),17285.485,19852.491
Marge commerciale (en millions d'euros),4819.585,6014.1
Nombre de magasins,17584,19471
Surface totale de vente (en m²),5137379,6021132
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,60859.2,73595.7
Part du chiffre d'affaires provenant des ventes par Internet,4.9,7.5
Taux de marge commerciale,32.7,35.5
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,32.6,35.3
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,14,15.9
Taux d'Investissement : Investissements / Valeur Ajoutée ,9.7,11.5
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,343.3,259.7
Vente en gros,7.1,3.6
"Vente au détail, hors carburant",78.2,81.8
Fabrication,3.8,3.2
Services,10.7,11.5
Carburant,0.2,0
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",13.9,0.3
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",4.7,2.4
Vente aux particuliers,78.9,96.1
Etranger,2.6,1.1
120 m² ou moins,63.7,63.7
De 120 m² à 400 m²,23.4,22.2
De 400 m² à 2500 m²,11.1,12
2500 m² ou plus,1.9,2.1
"Centrales d'achats, grossistes, France",30.7,51.5
"Producteurs, filiales de commercialisation, France",21.5,10.4
"Grossistes, centrales d'achats, producteurs, étranger",41.8,35
"Autres, France",6,3.1
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",141.413,175.32
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,178.587,223.157
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",46.217,71.465
Total de ces dépenses,366.217,469.942
4764ZB1 - Articles de sport et de campement,21.1,22.1
4761ZA1 - Livres,12.3,11.6
4765ZO1 - Jeux et jouets (sauf jeux vidéo),7.9,9.6
"4764ZA1 - Cycles, pièces détachées et accessoires pour cycles (vélos, VTT, etc.)",9,6.7
"4764ZE1 - Ne pas utiliser (Vêtements à usage exclusivement sportif (tenues de plongée, de ski, de danse, etc.))",5.9,5.8
"4649ZB1 - Articles de sport, chaussures à usage exclusivement sportif (chaussures de ski, à crampons, etc.), articles de chasse et de pêche (sauf textile et habillement)",5.8,N
Total de ces produits,62,55.9
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
