Header,2020,2021
Nombre total d'entreprises,8261,8397
Chiffre d'affaires hors taxes (en millions d'euros),26778.526,31886.992
Marge commerciale (en millions d'euros),6641.407,7052.337
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,82839.8,88801.1
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,31.1,27.6
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,18.5,26.3
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,6.4,10.9
Taux d'Investissement : Investissements / Valeur Ajoutée ,9.9,11
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,273.4,258.5
Vente en gros,8.2,7.9
"Vente au détail, hors carburant",0.1,0.2
Fabrication,6.6,6.5
Services,10.5,10.3
Carburant,0.3,0.5
Commerce et réparation d’automobiles et de motocycles,74.3,74.5
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",29.8,25.6
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",19.9,37.7
Vente aux particuliers,45,27.3
Etranger,5.3,9.4
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",35.9,43.2
"Producteurs, filiales de commercialisation, France",28.5,18.7
"Grossistes, centrales d'achats, producteurs, étranger",31.9,34.7
"Autres, France",3.7,3.4
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",110.18,121.635
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,447.681,483.9
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",76.779,65.733
Total de ces dépenses,634.64,671.269
4531ZA1 - Vente en gros d'équipements et pièces détachées pour l'automobile,40.1,28.2
4531ZB1 - Vente en gros de pneumatiques,9,21.1
"4532ZA1 - Pièces, accessoires et équipements automobiles (vente sans pose)",8.7,6.1
4669B01 - Commerce de gros de fournitures et équipements industriels divers (commerce interentreprises),6.5,6.1
4532ZC1 - Vente au détail de pneumatiques (avec ou sans montage),N,5.9
4532ZB1 - Vente à des particuliers de pièces et accessoires ou équipements simples posés lors de la réparation,N,5.8
Total de ces produits,64.4,73.2
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
