Header,2020,2021
Nombre total d'entreprises,31523,33887
Chiffre d'affaires hors taxes (en millions d'euros),124150.104,141899.077
Marge commerciale (en millions d'euros),13056.36,14802.404
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,166439.7,183634.5
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,11.5,11.4
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,21.5,25.9
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,6.6,8.9
Taux d'Investissement : Investissements / Valeur Ajoutée ,22.7,21.3
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,70.6,99
Vente en gros,1.3,1.5
"Vente au détail, hors carburant",0.2,0.2
Fabrication,2.1,2.1
Services,2.4,2.5
Carburant,0.4,0.3
Commerce et réparation d’automobiles et de motocycles,93.5,93.4
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",27.8,17.7
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",19.6,14.6
Vente aux particuliers,49.9,60.2
Etranger,2.7,7.5
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",28.5,35.6
"Producteurs, filiales de commercialisation, France",29.7,24.5
"Grossistes, centrales d'achats, producteurs, étranger",33.2,32.8
"Autres, France",8.6,7.1
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1223.163,1496.118
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,403.852,526.367
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",29.282,31.959
Total de ces dépenses,1656.297,2054.443
4511ZD1 - Vente à des particuliers de voitures neuves,25.2,23.1
4511ZE1 - Vente à des particuliers de voitures d'occasion,18.5,19.8
4511ZB1 - Vente à des utilisateurs professionnels de voitures particulières neuves,14.8,14.2
4511ZA1 - Vente de véhicules utilitaires légers (neuf ou occasion),8.3,7.3
Total de ces produits,66.8,64.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
