Header,2020,2021
Nombre total d'entreprises,4618,4715
Chiffre d'affaires hors taxes (en millions d'euros),49301.392,50171.927
Marge commerciale (en millions d'euros),5905.089,5758.812
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,44234.9,46608.7
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,12.9,12.4
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,27.7,28.1
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,4.8,5
Taux d'Investissement : Investissements / Valeur Ajoutée ,23,21.7
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,87.6,97
Vente en gros,90.4,89.8
"Vente au détail, hors carburant",3.8,4.1
Fabrication,3.7,4
Services,2.1,2.1
Carburant,0,0.1
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,4.8,3.1
Vente à des grossistes,7.6,6.3
Vente à des détaillants,23.8,35.2
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",36.3,44.6
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",48.7,26.1
Vente aux particuliers,0.9,19.3
Etranger,14.1,10.1
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",20.1,19.1
"Producteurs, filiales de commercialisation, France",60.5,60.5
"Grossistes, centrales d'achats, producteurs, étranger",10.5,13.8
"Autres, France",8.9,6.6
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",54.204,59.042
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,791.858,757.258
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",42.608,57.783
Total de ces dépenses,888.669,874.083
4621ZA1 - Céréales (grains),28,27.7
"4623ZO1 - Animaux vivants (sur pied destinés à l'élevage, l'engraissage, l'abattage, le dressage, l'expérimentation etc.., et animaux de compagnie )",20.9,18.8
"4621ZC1 - Oléagineux, protéagineux, soja, féveroles, tourteaux, etc.",7,9.8
"4621ZD1 - Aliments pour le bétail (pailles, fourrages, tourteaux, farines de poisson, etc.)",6.6,N
4675ZA1 - Engrais (dont engrais biologiques),5.3,N
"4675ZB1 - Produits phytosanitaires, pour la protection des végétaux",5,N
Total de ces produits,72.8,56.3
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
