Header,2018,2019
Nombre total d'entreprises,8759,8705
Chiffre d'affaires hors taxes (en millions d'euros),13023.185,13266.036
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,22437.6,22784.5
Valeur ajoutée hors taxes (en millions d'euros),6123.632,6284.963
Excédent Brut d'Exploitation (en millions d'euros),4602.898,4767.741
Frais de personnel (en millions d'euros),1288.464,1293.07
Investissements corporels bruts hors apports (en millions d'euros),10541.854,11429.389
Entreprises,10675.365,11158.746
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,355.534,388.761
Particuliers,1992.287,1718.53
Clientèle nationale,11649.814,11748.73
Clientèle étrangère,1373.371,1517.307
     dont Union européenne,891.231,750.024
     dont Hors Union européenne,482.14,767.283
Sous-traitance : études et prestations de services incorporées à la production,0.3,3.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.2,3.1
Achats de carburant et pièces détachées pour la revente,341.632,260.691
Achats de produits alimentaires (y compris boissons et plats cuisinés),0.757,0
Commissions reversées à des confrères pour vente de voyages organisés,3.254,0
Commissions reversées à des agences de voyages (hors opérateurs en ligne),0.204,0
Commissions reversées à des opérateurs en ligne,0.157,0
Total de toutes les dépenses professionnelles,346.004,260.691
SO= Sans objet ; NR = Non renseigné.,,
7711B - Location de longue durée de voitures et de véhicules automob. légers,3373.283,3784.106
7711A - Location de courte durée de voitures et de véhicules automob. légers,3508.259,3515.131
7712Z - Location et location-bail de camions,851.357,1302.43
4511Z - Commerce de voitures et de véhicules automobiles légers,1053.416,1122.366
