Header,2018,2019
Nombre total d'entreprises,8885,9018
Chiffre d'affaires hors taxes (en millions d'euros),8470.3,9325.989
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,33968.5,36502.2
Valeur ajoutée hors taxes (en millions d'euros),3570.781,3954.788
Excédent Brut d'Exploitation (en millions d'euros),619.565,640.781
Frais de personnel (en millions d'euros),2891.423,3227.777
Investissements corporels bruts hors apports (en millions d'euros),770.456,535.175
Entreprises,7116.475,7466.315
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,351.898,408.965
Particuliers,1001.927,1450.709
Clientèle nationale,5809.991,6757.601
Clientèle étrangère,2660.309,2568.388
     dont Union européenne,1679.788,1710.156
     dont Hors Union européenne,980.521,858.233
Sous-traitance : études et prestations de services incorporées à la production,12.5,13.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.5,3
"Achats de matériel et installations compris dans vos facturations ""clés en main""",281.459,377.958
Reversements ou redevances aux propriétaires des supports (activité de régie),9.316,4.679
Dépenses de publicité,3.942,4.523
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",3.965,3.743
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),0,3.29
Total de toutes les dépenses professionnelles,324.73,403.28
SO= Sans objet ; NR = Non renseigné.,,
"6311Z - Traitement de données, hébergement et activités connexes",5642.169,6080.31
6312Z - Portails Internet,1116.819,1481.89
