Header,2018,2019
Nombre total d'entreprises,5319,5648
Chiffre d'affaires hors taxes (en millions d'euros),15049.585,15359.353
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,69167.5,65369.4
Valeur ajoutée hors taxes (en millions d'euros),7622.064,7413.767
Excédent Brut d'Exploitation (en millions d'euros),1029.955,1041.264
Frais de personnel (en millions d'euros),6426.852,6181.841
Investissements corporels bruts hors apports (en millions d'euros),218.678,248.327
Entreprises,12307.881,13001.922
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1811.15,1593.858
Particuliers,930.554,763.572
Clientèle nationale,9527.114,10312.19
Clientèle étrangère,5522.471,5047.162
     dont Union européenne,2776.937,2562.781
     dont Hors Union européenne,2745.535,2484.381
Sous-traitance : études et prestations de services incorporées à la production,34.3,67.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7,45.9
"Achats de matériel et installations compris dans vos facturations ""clés en main""",232.473,399.65
Versements des droits d'auteur et des droits voisins,492.578,344.923
Frais de duplication de vidéogrammes,139.367,55.176
Dépenses de publicité,50.545,48.425
Achats de prestations de services techniques;,15.539,15.71
Total de toutes les dépenses professionnelles,970.679,899.691
SO= Sans objet ; NR = Non renseigné.,,
5829C - Édition de logiciels applicatifs,6713.787,7283.535
5821Z - Édition de jeux électroniques,2472.632,2061.249
5829A - Édition de logiciels système et de réseau,1456.375,1552.094
