Header,2018,2019
Nombre total d'entreprises,24774,27488
Chiffre d'affaires hors taxes (en millions d'euros),6060.988,6877.429
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,28211.4,31714.5
Valeur ajoutée hors taxes (en millions d'euros),1507.321,2033.243
Excédent Brut d'Exploitation (en millions d'euros),165.775,587.987
Frais de personnel (en millions d'euros),1199.773,1282.915
Investissements corporels bruts hors apports (en millions d'euros),954.605,2222.932
Entreprises,3657.06,4222.986
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,129.372,690.244
     dont Opérateurs en ligne,152.175,212.376
     dont Autres entreprises,3375.513,3320.366
Administrations,93.905,218.883
Particuliers,2310.023,2435.56
Clientèle nationale,5089.641,5762.803
Clientèle étrangère,971.347,1114.626
     dont Union européenne,650.928,724.203
     dont Hors Union européenne,320.418,390.423
Sous-traitance : études et prestations de services incorporées à la production,10.7,2.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.9,1.3
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",267.126,215.582
Commissions reversées à des confrères pour vente de voyages organisés,62.473,102.37
Achats de produits alimentaires (y compris boissons et plats cuisinés),51.115,97.443
Dépenses de promotion,45.177,50.399
Achats ou reversements de voyages organisés par d'autres entreprises,52.9,48.252
Total de toutes les dépenses professionnelles,489.848,550.479
SO= Sans objet ; NR = Non renseigné.,,
5520Z - Hébergement touristique et autre hébergement de courte durée,3811.072,4573.366
7911Z - Activités des agences de voyage,547.185,560.754
4110A - Promotion immobilière de logements,374.298,N
