Header,2018,2019
Nombre total d'entreprises,76903,86044
Chiffre d'affaires hors taxes (en millions d'euros),68970.324,73490.592
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,341916.3,351383.5
Valeur ajoutée hors taxes (en millions d'euros),36511.329,38985.016
Excédent Brut d'Exploitation (en millions d'euros),6110.427,7219.975
Frais de personnel (en millions d'euros),29141.137,30489.371
Investissements corporels bruts hors apports (en millions d'euros),1920.269,2364.737
Entreprises,59293.082,61707.878
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,5537.764,6686.592
Particuliers,4139.479,5096.122
Clientèle nationale,59232.746,63360.769
Clientèle étrangère,9737.578,10129.823
     dont Union européenne,6186.779,6455.018
     dont Hors Union européenne,3550.799,3674.805
Sous-traitance : études et prestations de services incorporées à la production,13.4,10.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.4,4.3
"Achats de matériel et installations compris dans vos facturations ""clés en main""",1220.068,1428.326
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),65.548,39.357
Dépenses de publicité,7.37,12.533
Reversements ou redevances aux propriétaires des supports (activité de régie),6.895,9.03
Dépenses de promotion,6.184,6.263
Total de toutes les dépenses professionnelles,1315.385,1505.899
SO= Sans objet ; NR = Non renseigné.,,
6202A - Conseil en systèmes et logiciels informatiques,31162.723,33083.58
6201Z - Programmation informatique,9691.806,12423.548
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",5127.611,5500.135
6203Z - Gestion d'installations informatiques,3999.727,3971.493
