Header,2018,2019
Nombre total d'entreprises,14824,14878
Chiffre d'affaires hors taxes (en millions d'euros),156284.864,157286.057
Marge commerciale (en millions d'euros),33656.67,34871.354
Nombre de magasins,7791,6836
Surface totale de vente (en m²),3538822,2634188
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,184843.1,185376.6
Part des entreprises ayant au moins une marque propre,20.9,14.8
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,22.9,23.5
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,26.6,29
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.5,9.3
Taux d'Investissement : Investissements / Valeur Ajoutée ,7.7,8.2
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,187.7,186.9
Vente en gros,82.5,83.6
"Vente au détail, hors carburant",5.3,4.8
Fabrication,3.7,3.6
Services,2.1,1.8
Carburant,6.4,6.1
Réparation,0.1,0
Grande distribution et commerce organisé,35.8,41.2
Commerces indépendants,3.1,3.2
Détaillants (réseau propre ou non),4,4.2
Grossistes,4.6,4.8
Vente à des utilisateurs professionnels,38.4,33.9
Vente aux particuliers,6.5,5.4
Etranger,7.5,7.3
Moins de 20 m²,7,9.9
De 20 m² à 60 m²,15.3,10.8
De 60 m² à 120 m²,23,26
De 120 m² à 400 m²,28.6,29.7
De 400 m² à 2500 m²,22.9,21.5
De 2500 m² à 5000 m²,1.9,1.1
5000 m² ou plus,1.3,1.1
"Centrales d'achats, grossistes, France",17.4,19.2
"Producteurs, filiales de commercialisation, France",47.9,43.1
"Grossistes, centrales d'achats, producteurs, étranger",31.3,32.6
"Autres, France",3.4,5
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",466.616,363.49
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",349.339,322.529
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1783.253,1802.852
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",136.827,146.895
Total de ces dépenses,2736.035,2635.766
"4671ZO1 - Combustibles, carburants, lubrifiants",21.7,22
4671ZD1 - Carburants et lubrifiants,9.4,9.5
"4673AD1 - Matériaux de construction (ciment, plâtre, céramique de bâtiment)",5.3,5.2
Total de ces produits,36.5,36.7
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
