Header,2018,2019
Nombre total d'entreprises,20450,20189
Chiffre d'affaires hors taxes (en millions d'euros),11378.177,16424.225
Marge commerciale (en millions d'euros),3880.731,4985.45
Nombre de magasins,12264,33468
Surface totale de vente (en m²),3086825,6488737
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,44093.7,70037.6
Part des entreprises ayant au moins une marque propre,7.2,7.7
Part du chiffre d'affaires provenant des ventes par Internet,4.1,2.3
Taux de marge commerciale,35.9,34.7
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.9,26.5
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.3,11.4
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.9,17.8
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,128.5,140.9
Vente en gros,2,2.4
"Vente au détail, hors carburant",93,84.9
Fabrication,0.7,1.2
Services,4.2,11.2
Carburant,0,0
Réparation,0,0.1
Grande distribution et commerce organisé,0.8,0.3
Commerces indépendants,4.1,2.4
Détaillants (réseau propre ou non),2.1,31.3
Grossistes,0.3,0.2
Vente à des utilisateurs professionnels,4.8,3.8
Vente aux particuliers,87,61.1
Etranger,1,0.9
Moins de 20 m²,4.7,2
De 20 m² à 60 m²,32.2,52.6
De 60 m² à 120 m²,31.3,19.6
De 120 m² à 400 m²,18.3,18
De 400 m² à 2500 m²,12.2,6.6
De 2500 m² à 5000 m²,1.2,0.9
5000 m² ou plus,0.2,0.3
"Centrales d'achats, grossistes, France",50.5,50.9
"Producteurs, filiales de commercialisation, France",31.5,25.7
"Grossistes, centrales d'achats, producteurs, étranger",12.4,14.8
"Autres, France",5.6,8.7
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",45.798,61.622
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",133.069,123.599
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,64.17,80.453
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",48.783,33.851
Total de ces dépenses,291.82,299.525
"4764ZO1 - Articles de sport et de loisir (pêche, cycles, planches, vêtements) hors articles et armes de chasse",N,22.1
4761ZA1 - Livres,12,13.1
"4764ZA1 - Cycles, pièces détachées et accessoires pour cycles (vélos, VTT, etc.)",12.9,8.7
4765ZO1 - Jeux et jouets,10.3,8
"4764ZE1 - Vêtements à usage exclusivement sportif (tenues de plongée, de ski, de danse, etc.)",7.8,7.5
4764ZB1 - Articles de sport et de campement,6.8,5.3
"6820B53 - Location de fonds de commerce, pour compte propre",N,5.1
4761ZO1 - Livres,5.4,N
"4764ZF1 - Chaussures à usage exclusivement sportif (pour le ski, le patinage, etc.)",5.6,N
Total de ces produits,60.8,69.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
