Header,2018,2019
Nombre total d'entreprises,7991,8164
Chiffre d'affaires hors taxes (en millions d'euros),20735.417,21009.662
Marge commerciale (en millions d'euros),5454.893,5405.616
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,64413.1,62628.1
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,28.8,27.8
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,16.8,19
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.7,9.4
Taux d'Investissement : Investissements / Valeur Ajoutée ,7.1,8.4
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,160.9,150.5
Vente en gros,3.8,3.7
"Vente au détail, hors carburant",0.1,0.1
Fabrication,2.3,2.9
Services,2.2,1.7
Carburant,1.1,1
Réparation,90.6,90.6
Grande distribution et commerce organisé,10.3,9.7
Commerces indépendants,9.4,10.8
Détaillants (réseau propre ou non),5.4,5.9
Grossistes,18.5,16.1
Vente à des utilisateurs professionnels,24.4,27.1
Vente aux particuliers,25.4,24
Etranger,6.6,6.4
Moins de 20 m²,N,N
De 20 m² à 60 m²,N,N
De 60 m² à 120 m²,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
De 2500 m² à 5000 m²,N,N
5000 m² ou plus,N,N
"Centrales d'achats, grossistes, France",38.4,38.1
"Producteurs, filiales de commercialisation, France",32.9,35.8
"Grossistes, centrales d'achats, producteurs, étranger",24.8,22.2
"Autres, France",4,3.9
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",187.84,209.648
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",154.311,174.479
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,398.969,437.602
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",83.467,98.907
Total de ces dépenses,824.587,920.636
4531ZA1 - Vente en gros d'équipements et pièces détachées pour l'automobile,41.3,45.8
4531ZB1 - Vente en gros de pneumatiques,10.7,10.5
"4532ZA1 - Pièces, accessoires et équipements automobiles (vente sans pose)",8.7,10
4532ZB1 - Vente à des particuliers de pièces et accessoires ou équipements simples posés lors de la réparation,9.6,8.7
4532ZC1 - Vente au détail de pneumatiques (avec ou sans montage),7,5.3
Total de ces produits,77.3,80.2
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
